Date	Latitude(deg)	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)	Rollrate(dps)	Pitchrate(dps)	Yawrate(dps)	accelX(m/s/s)	accelY(m/s/s)	accelZ(m/s/s)	vgN(mps)	vgE(mps)	vgD(mps)	Aileron(unit)	Elevator(unit)	Rudder(unit)	Throttle(unit)
17:56:02:275	47.46363	-122.3077	0.02149881	0.02149881	0	0	0	0	0	0	1.412406	2.044638	161.4865	-0.003328905	0.4285165	0	0	0	-1000.057	0	0	9.990884E-05	-3	-3	-3	0	
17:56:02:295	47.46363	-122.3077	0.02149881	0.02149881	0	0	0	0	0	0	1.412492	2.069868	161.4871	0.0003930433	0.5224156	0	0	0	-1000.073	0	0	9.990884E-05	-3	-3	-3	0	
17:56:02:316	47.46363	-122.3077	0.02149436	0.02149436	0	0	0	0	0	0	1.412492	2.069868	161.4871	0.0003930433	0.5224156	0	0	0	-1000.073	0	0	0.000111484	-3	-3	-3	0	
17:56:02:358	47.46363	-122.3077	0.02149436	0.02149436	0	0	0	0	0	0	1.412492	2.069868	161.4871	0.0003930433	0.5224156	0	0	0	-1000.073	0	0	0.000111484	-3	-3	-3	0	
17:56:02:378	47.46363	-122.3077	0.02149436	0.02149436	0	0	0	0	0	0	1.412492	2.069868	161.4871	0.0003930433	0.5224156	0	0	0	-1000.073	0	0	0.000111484	-3	-3	-3	0	
17:56:02:397	47.46363	-122.3077	0.02149436	0.02149436	0	0	0	0	0	0	1.412492	2.069868	161.4871	0.0003930433	0.5224156	0	0	0	-1000.073	0	0	0.000111484	-3	-3	-3	0	
17:56:02:418	47.46363	-122.3077	0.02149436	0.02149436	0	0	0	0	0	0	1.412492	2.069868	161.4871	0.0003930433	0.5224156	0	0	0	-1000.073	0	0	0.000111484	-3	-3	-3	0	
17:56:02:480	47.46363	-122.3077	0.02149436	0.02149436	0	0	0	0	0	0	1.412472	2.097817	161.4878	-0.001187415	0.5635264	0	0	0	-1000.101	0	0	0.000111484	-3	-3	-3	0	
17:56:02:496	47.46363	-122.3077	0.02149436	0.02149436	0	0	0	0	0	0	1.412472	2.097817	161.4878	-0.001187415	0.5635264	0	0	0	-1000.101	0	0	0.000111484	-3	-3	-3	0	
17:56:02:520	47.46363	-122.3077	0.02146855	0.02146855	0	0	0	0	0	0	1.412472	2.097817	161.4878	-0.001187415	0.5635264	0	0	0	-1000.101	0	0	0.0003024379	-3	-3	-3	0	
